Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Blake Horvath,NAVY,['QB'],['6'],['12'],['50.0'],['84'],['7.0'],['68'],['2'],['0'],['1'],['163.8']
JC French,GASO,['QB'],['11'],['12'],['91.7'],['83'],['6.9'],['15'],['0'],['1'],['2'],['133.1']
Hunter Helms,CLEM,['QB'],['9'],['10'],['90.0'],['83'],['8.3'],['18'],['0'],['0'],['0'],['159.7']
Jay Butterfield,SJSU,['QB'],['7'],['11'],['63.6'],['80'],['7.3'],['29'],['1'],['0'],['1'],['154.7']
Ty Simpson,ALA,['QB'],['6'],['11'],['54.5'],['78'],['7.1'],['45'],['0'],['0'],['5'],['114.1']
Cole Pennington,MRSH,['QB'],['12'],['23'],['52.2'],['77'],['3.3'],['17'],['0'],['2'],['1'],['62.9']
Nate Yarnell,PITT,['QB'],['2'],['3'],['66.7'],['75'],['25.0'],['50'],['1'],['0'],['0'],['386.7']
Beau Pribula,PSU,['QB'],['6'],['13'],['46.2'],['75'],['5.8'],['30'],['2'],['0'],['0'],['145.4']
Harrison Barker,UAB,['QB'],['6'],['13'],['46.2'],['75'],['5.8'],['32'],['1'],['1'],['1'],['104.6']
Chuck Montgomery,MRSH,['WR'],['1'],['2'],['50.0'],['75'],['37.5'],['75'],['1'],['0'],['0'],['530.0']
Ryan Burger,APP,['QB'],['7'],['11'],['63.6'],['73'],['6.6'],['24'],['1'],['0'],['2'],['149.4']
Holman Edwards,USM,['QB'],['8'],['19'],['42.1'],['70'],['3.7'],['20'],['0'],['1'],['5'],['62.5']
Levi Williams,USU,['QB'],['5'],['8'],['62.5'],['68'],['8.5'],['47'],['2'],['0'],['0'],['216.4']
Holden Geriner,AUB,['QB'],['4'],['9'],['44.4'],['67'],['7.4'],['30'],['0'],['0'],['1'],['107.0']
Sean Atkins,USF,['WR'],['2'],['2'],['100.0'],['66'],['33.0'],['39'],['0'],['0'],['0'],['377.2']
Parker Navarro,OHIO,['QB'],['7'],['10'],['70.0'],['65'],['6.5'],['32'],['2'],['1'],['0'],['170.6']
Turner Helton,WKU,['QB'],['5'],['5'],['100.0'],['65'],['13.0'],['26'],['1'],['0'],['0'],['275.2']
Ui Ale,HOU,['QB'],['3'],['7'],['42.9'],['65'],['9.3'],['58'],['1'],['0'],['0'],['168.0']
Tyler Buchner,ALA,['QB'],['8'],['19'],['42.1'],['61'],['3.2'],['20'],['0'],['0'],['0'],['69.1']
Cameron Skattebo,ASU,['RB'],['3'],['4'],['75.0'],['60'],['15.0'],['25'],['0'],['0'],['0'],['201.0']
Forrest Brock,TEM,['QB'],['7'],['15'],['46.7'],['60'],['4.0'],['22'],['0'],['1'],['3'],['66.9']
AJ Padgett,RICE,['QB'],['7'],['10'],['70.0'],['59'],['5.9'],['27'],['1'],['0'],['1'],['152.6']
