Player,School,POS,ATT,YDS,AVG,LNG,TD
ChaseJenkins,RICE,'QB','11','86','7.8','28','1'
JekailMiddlebrook,MTSU,'RB','18','85','4.7','25','2'
A.J.Henning,NU,'WR','18','84','4.7','17','1'
ColsonYankoff,UCLA,'RB','13','83','6.4','25','1'
BrandonThomas,MEM,'RB','25','83','3.3','9','6'
AnthonyColandrea,UVA,'QB','40','82','2.0','16','0'
DarwinBarlow,USC,'RB','8','81','10.1','43','1'
RodneyGallagher,WVU,'WR','13','81','6.2','15','0'
LarryRobinson,ARMY,'QB','6','80','13.3','23','1'
AthanKaliakmanis,MINN,'QB','57','79','1.4','19','2'
AaronYoung,RUTG,'RB','12','79','6.6','16','1'
JaisonPatterson,BGSU,'RB','24','79','3.3','20','0'
BrandonBuckhaulter,UAB,'WR','7','78','11.1','35','0'
CadeKlubnik,CLEM,'QB','81','78','1.0','17','3'
EthanGarbers,UCLA,'QB','24','77','3.2','18','0'
MilesDavis,BYU,'RB','15','77','5.1','13','0'
GrantWilson,ODU,'QB','84','77','0.9','25','1'
SamHartman,ND,'QB','41','76','1.9','38','3'
ColeSnyder,BUFF,'QB','55','76','1.4','22','1'
DallanHayden,OSU,'RB','11','76','6.9','19','1'
VaughnBlue,LIB,'RB','12','76','6.3','21','0'
ZaneMinors,SMU,'RB','17','75','4.4','10','0'
HudsonCard,PUR,'QB','73','74','1.0','21','3'
TylerLavine,SMU,'RB','21','74','3.5','13','3'
JalonDaniels,KU,'QB','27','74','2.7','17','0'
JacquesBadolato-Birdsell,NEV,'RB','30','74','2.5','15','1'
CJOgbonna,BUFF,'QB','17','74','4.4','10','1'
JohnMateer,WSU,'QB','15','74','4.9','15','2'
DanteDowdell,ORE,'RB','14','74','5.3','13','1'
AidanChiles,ORST,'QB','12','74','6.2','23','2'
BenWooldridge,UL,'QB','17','73','4.3','24','2'
ChrisJohnsonJr.,MIA,'RB','11','73','6.6','24','1'
AsaMartin,TROY,'RB','18','72','4.0','16','0'
TerrenceWilliams,UL,'RB','23','72','3.1','11','1'
JamMiller,ALA,'RB','17','72','4.2','19','0'
RoccoBecht,ISU,'QB','44','72','1.6','14','3'
Ja'VinSimpkins,CCU,'RB','10','72','7.2','22','1'
AveonSmith,M-OH,'QB','23','71','3.1','48','1'
TankSmith,PSU,'RB','9','71','7.9','39','0'
PeytonJones,DUKE,'RB','20','71','3.5','15','1'
GeraldGreen,ECU,'RB','9','70','7.8','46','1'
StoneEarle,UNT,'QB','16','70','4.4','34','0'
JackLausch,NU,'QB','15','70','4.7','46','1'
CarsonBeck,UGA,'QB','39','69','1.8','15','3'
BenjaminHall,MICH,'RB','15','69','4.6','19','0'
NateMilanowski,M-OH,'RB','11','69','6.3','23','1'
BraxtonWoodson,NAVY,'QB','35','69','2.0','22','0'
TJFinley,TXST,'QB','55','68','1.2','24','5'
KevinDavis,M-OH,'RB','16','68','4.3','12','1'
HunterHerring,ULM,'QB','13','68','5.2','18','0'
AriBroussard,RICE,'RB','20','67','3.3','16','0'
JarrisWilliams,TROY,'RB','13','67','5.2','25','1'
SamLeavitt,MSU,'QB','13','67','5.2','22','0'
LideatrickGriffin,MSST,'WR','14','66','4.7','17','1'
TonyMuskett,UVA,'QB','61','66','1.1','20','1'
ChaseGillespie,VAN,'RB','21','66','3.1','10','0'
GioLopez,USA,'QB','11','66','6.0','20','1'
KysonBrown,ASU,'RB','16','66','4.1','15','0'
RahmirJohnson,NEB,'RB','12','65','5.4','44','0'
TreysonBourguet,WMU,'QB','36','65','1.8','29','0'
JosephHimonII,NU,'RB','22','65','3.0','12','0'
KeyjuanBrown,LOU,'RB','11','65','5.9','14','1'
BryceDuke,VT,'RB','8','64','8.0','31','0'
NehemiahMartinezI,TTU,'WR','12','64','5.3','11','0'
WalterTaylor,VAN,'QB','24','64','2.7','18','1'
SpencerRattler,SC,'QB','78','63','0.8','28','3'
AhmaniMarshall,APP,'RB','16','63','3.9','11','2'
ConnerWeigman,TA&M,'QB','12','63','5.3','19','2'
ReggionBennett,JVST,'RB','25','63','2.5','13','0'
KeshawnKing,WMU,'RB','14','62','4.4','17','1'
DemarkcusBowman,UCF,'RB','10','62','6.2','12','1'
ZuberiMobley,FAU,'RB','22','62','2.8','11','0'
JusticeHaynes,ALA,'RB','10','62','6.2','16','0'
MattJones,MISS,'RB','9','62','6.9','36','2'
MarkelJohnson,ARMY,'RB','20','62','3.1','11','0'
JaylenJenkins,WSU,'RB','20','62','3.1','17','0'
DeionSmith,BYU,'RB','21','61','2.9','18','1'
CooperLegas,USU,'QB','51','61','1.2','11','0'
TrayvonRudolph,NIU,'WR','13','61','4.7','36','0'
CreedWhittemore,MSST,'WR','3','61','20.3','53','1'
JujuMcDowell,SC,'RB','25','61','2.4','17','2'
JakeStrong,TTU,'QB','6','61','10.2','54','0'
JackTurner,LT,'QB','29','61','2.1','12','2'
PhilJurkovec,PITT,'QB','39','60','1.5','23','1'
KeyvoneLee,MSST,'RB','9','60','6.7','33','0'
JalilFarooq,OU,'WR','14','60','4.3','11','0'
KamarroEdmonds,ECU,'RB','12','60','5.0','17','2'
AndrewPaul,UGA,'RB','14','60','4.3','13','0'
AltonMcCaskill,COLO,'RB','14','59','4.2','9','0'
CharlieSpegal,BALL,'RB','11','59','5.4','14','1'
MarlonGunnJr.,ECU,'RB','23','59','2.6','13','0'
AidanLaughery,ILL,'RB','13','59','4.5','19','1'
SamJacksonV,CAL,'QB','26','59','2.3','27','1'
GageLarvadain,M-OH,'WR','5','59','11.8','46','0'
LoganFife,FRES,'QB','15','58','3.9','16','0'
JaylenColeman,DUKE,'RB','10','57','5.7','15','0'
TrentonBourguet,ASU,'QB','23','57','2.5','17','2'
PaSeanWimberly,BGSU,'RB','18','57','3.2','12','0'
ConnerHarrell,UNC,'QB','4','57','14.3','61','1'
NickMosley,BGSU,'RB','8','56','7.0','23','0'
JordanMcDonald,UCF,'RB','18','56','3.1','10','3'
MilesStewart,ARMY,'RB','14','56','4.0','10','0'
AJNewberry,VAN,'RB','7','56','8.0','29','0'
SoloVaipulu,HAW,'OL','10','55','5.5','14','0'
Ta'QuanRoberson,CONN,'QB','33','55','1.7','24','2'
ShedroLouis,TULN,'RB','19','55','2.9','8','0'
LarenzoMcMillan,NMSU,'RB','4','55','13.8','30','0'
CJHarris,OHIO,'QB','12','55','4.6','23','0'
BryceFarrell,STAN,'WR','20','54','2.7','12','3'
JacksonArnold,OU,'QB','12','54','4.5','11','1'
AhmadHaston,MASS,'QB','16','54','3.4','7','0'
BenjaminYurosek,STAN,'TE','11','53','4.8','10','0'
EJWilsonJr.,TEM,'RB','10','53','5.3','20','0'
NoahKim,MSU,'QB','27','53','2.0','14','0'
JackShields,ODU,'QB','22','53','2.4','66','1'
